Net Profit,Total Return (%),Sharpe Ratio,Max Drawdown (%),Total Trades,Entry APR,Exit APR,Filter Periods
2328.656746302424,23.286567463024237,3.9365049271446297,1.1470344531486583,11,12,4,3
2328.656746302424,23.286567463024237,3.9365049271446297,1.1470344531486583,11,12,3,3
2318.802926250677,23.18802926250677,3.920243733919992,1.1470344531486583,11,12,5,3
2317.9774532899464,23.179774532899465,3.9199547650886846,1.1470344531486583,11,12,6,3
2284.817621914899,22.848176219148993,3.8674525895272485,1.1392609464615315,11,15,3,3
2284.817621914899,22.848176219148993,3.8674525895272485,1.1392609464615315,11,15,4,3
2274.995158175203,22.74995158175203,3.8512274678051255,1.1392609464615315,11,15,5,3
2274.1716893935027,22.741716893935028,3.8509226930960554,1.1392609464615315,11,15,6,3
2245.9453423409905,22.459453423409904,3.8461504318526165,1.083852325237953,10,15,4,6
2245.9453423409905,22.459453423409904,3.8461504318526165,1.083852325237953,10,15,3,6
2236.15395936849,22.361539593684903,3.82976667284347,1.083852325237953,10,15,5,6
2235.332946041679,22.35332946041679,3.8294634345060086,1.083852325237953,10,15,6,6
2182.624148271727,21.82624148271727,3.8038835952469916,1.07455468888941,10,15,3,9
2182.624148271727,21.82624148271727,3.8038835952469916,1.07455468888941,10,15,4,9
2239.6540617379014,22.396540617379017,3.7967500473085094,1.1688020849253655,11,12,3,6
2239.6540617379014,22.396540617379017,3.7967500473085094,1.1688020849253655,11,12,4,6
2158.147418197741,21.58147418197741,3.7963283741450593,1.180262531314262,10,12,4,12
2158.147418197741,21.58147418197741,3.7963283741450593,1.180262531314262,10,12,3,12
2172.8833944702783,21.72883394470278,3.787425753018682,1.07455468888941,10,15,5,9
2172.066151776493,21.72066151776493,3.7871142635114263,1.07455468888941,10,15,6,9
2229.871378100752,22.298713781007518,3.780571929627427,1.1688020849253655,11,12,5,6
2229.0518643706764,22.290518643706765,3.780248913375415,1.1688020849253655,11,12,6,6
2148.426235040404,21.484262350404045,3.7795730335358093,1.180262531314262,10,12,5,12
2147.611745141783,21.47611745141783,3.779270780125418,1.180262531314262,10,12,6,12
2182.5366624188755,21.825366624188757,3.76719297314778,1.1704139026913172,11,12,4,9
2182.5366624188755,21.825366624188757,3.76719297314778,1.1704139026913172,11,12,3,9
2172.795978567723,21.727959785677232,3.7509168315776855,1.1704139026913172,11,12,5,9
2171.9801989082425,21.719801989082423,3.7505887316116295,1.1704139026913172,11,12,6,9
2087.274810081266,20.87274810081266,3.695458194225685,1.180262531314262,10,15,3,12
2087.274810081266,20.87274810081266,3.695458194225685,1.180262531314262,10,15,4,12
2077.6046760954487,20.776046760954486,3.6786824758062036,1.180262531314262,10,15,5,12
2076.793690248509,20.76793690248509,3.6783582821201937,1.180262531314262,10,15,6,12
1014.0486115700714,10.140486115700714,1.4730272563910638,5.315070858340152,34,10,3,12
975.7372887530037,9.757372887530037,1.4093443238646346,5.030080336506091,37,10,3,9
955.0304436104198,9.550304436104197,1.384405423906898,5.315070858340152,35,10,4,12
911.6006129345351,9.116006129345351,1.315050320170016,5.030080336506091,38,10,4,9
898.016868344479,8.980168683444791,1.2973998673962397,5.32646579572916,36,10,5,12
854.8156254312089,8.54815625431209,1.2310853182247745,5.041509571319288,39,10,5,9
783.2357724989142,7.832357724989142,1.1251434623906718,5.816482980570646,38,10,6,12
740.675181423052,7.406751814230519,1.064868773054577,5.53298576005372,41,10,6,9
647.8078049107789,6.47807804910779,0.8903116414139864,8.84894706246437,46,10,3,6
521.2314648161228,5.212314648161227,0.7143800077813411,9.422942323911116,48,10,4,6
466.77331450040583,4.667733145004059,0.638940328902607,9.431308888299512,49,10,5,6
337.9813290655766,3.3798132906557656,0.46345103602832366,10.487684959166153,51,10,6,6
-138.3232724884674,-1.383232724884674,-0.1656419144216107,10.9476646618862,61,8,3,12
-299.9404513985992,-2.9994045139859917,-0.3462216123615963,13.045793489764264,66,8,3,9
-438.0408779164354,-4.3804087791643544,-0.5396803212025277,11.866918615693345,67,8,4,12
-536.1173163540152,-5.361173163540152,-0.6605413542145444,12.322499502638621,69,8,5,12
-644.9922280402698,-6.449922280402697,-0.7748532491811149,13.930080429138389,73,8,4,9
-727.7000780707021,-7.277000780707022,-0.89161300354143,13.72289563820365,73,8,6,12
-740.9455835650988,-7.409455835650988,-0.8923739250331183,14.782332307954938,75,8,5,9
-794.1387251002761,-7.941387251002761,-0.9665092545164797,16.207306589916637,78,8,3,6
-974.5820414307109,-9.74582041430711,-1.172555277477897,16.508556387706083,80,8,6,9
-978.6219310565648,-9.786219310565649,-1.2118043095360889,17.81374175306672,83,10,3,3
-1076.4292025320865,-10.764292025320865,-1.3080939447084048,18.727446072763872,84,8,4,6
-1132.3959143852408,-11.323959143852408,-1.402532192354604,19.214648378299234,86,10,4,3
-1177.8457027535915,-11.778457027535914,-1.4581263505905164,19.62870352769696,87,10,5,3
-1214.0013413666875,-12.140013413666875,-1.4723261687140214,19.980401792630285,87,8,5,6
-1230.6998080845242,-12.306998080845242,-1.524145721623938,20.111854329158213,88,10,6,3
-1432.8723284625685,-14.328723284625685,-1.7257511466723725,21.57544027159674,92,8,6,6
-1971.0324565054625,-19.710324565054623,-2.355208551652381,26.86309795209135,109,8,3,3
-2416.3596996843326,-24.163596996843324,-2.888293978495853,30.919641310524522,120,8,4,3
-2532.1203403657337,-25.32120340365734,-3.0185697026035845,31.97411993341778,123,8,5,3
-2757.1223749087594,-27.571223749087594,-3.277249878709945,33.68685911918577,129,8,6,3
