entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2020-07-06,2020-07-16,9348.9396,9054.401769167715,-1.104623532132772,Stop Loss
2020-07-09,2020-07-27,9245.51628,10621.711378278002,4.841137950000007,Take Profit
2020-07-21,2020-07-27,9397.398009999999,10796.2007037885,4.787661600981293,Take Profit
2020-07-22,2020-07-27,9527.76825,10945.976554012499,4.7876616009812905,Take Profit
2020-09-01,2020-09-02,11942.11018,11565.582686430958,-1.2525825053898654,Stop Loss
2020-10-06,2020-10-21,10604.243649999999,12182.685317302497,5.424943125832466,Take Profit
2020-10-08,2020-10-21,10930.36945,12557.3549426325,5.4249431258324705,Take Profit
2020-10-10,2020-10-21,11306.084789999999,12988.995510991499,5.42494312583247,Take Profit
2023-04-14,2023-04-17,30483.553099999994,29522.69677652521,-1.4182658725314676,Stop Loss
2023-04-18,2023-04-19,30396.165799999995,29437.80292261814,-1.4029514360289936,Stop Loss
2023-05-28,2023-05-31,28083.755699999998,27198.435075170786,-1.387245352237445,Stop Loss
2023-05-29,2023-05-31,27749.721999999998,26874.90840520429,-1.3872798671598439,Stop Loss
2023-05-24,2023-06-05,26340.113799999996,25509.461002563854,-1.387715454813937,Stop Loss
2023-05-31,2023-06-05,27228.301099999997,26369.710371042354,-1.356932844931745,Stop Loss
2023-06-01,2023-06-05,26832.105299999996,25985.976909931356,-1.3569794630392762,Stop Loss
2023-07-13,2023-07-14,31473.141699999996,30480.946992112215,-1.31127828706011,Stop Loss
2023-07-10,2023-07-18,30427.296899999998,29468.08559743907,-1.3112615539901222,Stop Loss
2023-07-12,2023-07-18,30399.2689,29440.939218179075,-1.3112640672591687,Stop Loss
2023-07-14,2023-07-18,30323.593299999997,29367.643994177073,-1.296777546465218,Stop Loss
2023-08-01,2023-08-04,29730.901199999997,28794.191720611143,-1.2527599508817016,Stop Loss
2023-07-24,2023-08-17,29192.963799999998,28272.852623671,-1.2532083038888047,Stop Loss
2023-08-02,2023-08-17,29199.270099999994,28278.960559004496,-1.2532077931607388,Stop Loss
2023-08-07,2023-08-17,29231.9027,28310.5667005715,-1.23936141200679,Stop Loss
2023-10-16,2023-10-23,28514.786299999996,32759.212240755,5.248161236096297,Take Profit
2023-10-17,2023-10-23,28410.281899999998,32639.152360815,5.24816123609629,Take Profit
2023-10-19,2023-10-23,28725.596899999997,33001.401998565,5.248161236096295,Take Profit
2023-12-01,2023-12-05,38698.659999999996,44458.955541,6.010373411929838,Take Profit
2024-06-04,2024-06-07,70650.57999999999,68423.31143467143,-1.438671124060294,Stop Loss
2024-06-11,2024-06-14,67388.0207,65263.45908031007,-1.422861374485963,Stop Loss
2024-06-13,2024-06-18,66853.68689999999,64746.04385713192,-1.4228153663756264,Stop Loss
2024-06-14,2024-06-18,66105.73969999999,64021.62333630792,-1.407121943049919,Stop Loss
2024-06-18,2024-06-23,65215.149999999994,63159.25776032143,-1.375749028181876,Stop Loss
2024-06-20,2024-06-24,64918.85399999999,62871.54648314428,-1.3762268470800998,Stop Loss
2024-06-21,2024-06-24,64188.123999999996,62163.80159529429,-1.3762648766148948,Stop Loss
2024-10-29,2024-10-31,72812.2395,70516.69748867037,-1.3302040735515972,Stop Loss
2024-10-30,2024-10-31,72421.34899999999,70138.10244934786,-1.3302194634468323,Stop Loss
2024-10-28,2024-11-03,70009.93999999999,67802.22485515714,-1.3304992388722283,Stop Loss
2024-10-31,2024-11-03,70392.22189999999,68172.48207799264,-1.301069109832005,Stop Loss
2025-02-18,2025-02-24,95717.62199999999,92700.11741427572,-1.2716409041382755,Stop Loss
2025-02-21,2025-02-24,96224.02789999999,93190.59431669122,-1.2716269177159853,Stop Loss
2025-02-24,2025-02-25,91606.01449999999,88717.3384389025,-1.2438504344151782,Stop Loss
2025-05-05,2025-05-21,94791.39669999998,108901.09609879498,5.386425899013171,Take Profit
2025-05-06,2025-05-22,96895.69889999999,111318.62368126499,5.3864258990131715,Take Profit
2025-05-07,2025-05-22,97085.38839999998,111536.54846333999,5.386425899013175,Take Profit
2025-05-22,2025-05-23,111774.36269999998,108250.58092484293,-1.4084215899900825,Stop Loss
2025-05-27,2025-05-29,108998.1893,105561.82489842566,-1.3928937092619358,Stop Loss
2025-05-23,2025-05-30,107378.77149999999,103993.12283175322,-1.39302499161077,Stop Loss
2025-05-29,2025-06-05,105645.43989999998,102315.19132008836,-1.3773363048185094,Stop Loss
2025-06-09,2025-06-12,110338.12789999998,106860.43031904835,-1.3465438213598304,Stop Loss
2025-06-12,2025-06-20,105715.10949999999,102382.72460567752,-1.3318131606819863,Stop Loss
2025-06-13,2025-06-20,106133.32729999999,102787.78736477849,-1.3318026231086169,Stop Loss
2025-06-05,2025-06-22,101560.05859999999,98357.52002816557,-1.3471422637206012,Stop Loss
2025-06-20,2025-06-22,103349.3461,100090.52548985308,-1.3027546575542364,Stop Loss
2025-07-10,2025-08-02,116095.17919999998,112436.40746326398,-1.2728211886424288,Stop Loss
